PL_SN_MAP_ID,IOM_SN,MESSAGE,PL,SN,UPLOAD_DATE
244,ABT065,Carrier Did Not Pass - Decapper Divert Gate,740,ABT065,08/05/2019
245,ABT066,Carrier Did Not Pass - Decapper Divert Gate,740,ABT066,08/05/2019
246,ABT067,Carrier Did Not Pass - Decapper Divert Gate,740,ABT067,08/05/2019
247,ABT068,Carrier Did Not Pass - Decapper Divert Gate,740,ABT068,08/05/2019
248,ABT069,Carrier Did Not Pass - Decapper Divert Gate,740,ABT069,08/05/2019
249,ABT070,Carrier Did Not Pass - Decapper Divert Gate,740,ABT070,08/05/2019
250,ABT073,Carrier Did Not Pass - Decapper Divert Gate,740,ABT073,08/05/2019
251,ABT074,Carrier Did Not Pass - Decapper Divert Gate,740,ABT074,08/05/2019
252,ABT075,Carrier Did Not Pass - Decapper Divert Gate,740,ABT075,08/05/2019
253,ABT077,Carrier Did Not Pass - Decapper Divert Gate,740,ABT077,08/05/2019
254,ABT078,Carrier Did Not Pass - Decapper Divert Gate,740,ABT078,08/05/2019
255,ABT080,Carrier Did Not Pass - Decapper Divert Gate,740,ABT080,08/05/2019
256,ABT081,Carrier Did Not Pass - Decapper Divert Gate,740,ABT081,08/05/2019
257,ABT082,Carrier Did Not Pass - Decapper Divert Gate,740,ABT082,08/05/2019
258,ABT083,Carrier Did Not Pass - Decapper Divert Gate,740,ABT083,08/05/2019
259,ABT084,Carrier Did Not Pass - Decapper Divert Gate,740,ABT084,08/05/2019
260,ABT086,Carrier Did Not Pass - Decapper Divert Gate,740,ABT086,08/05/2019
261,ABT088,Carrier Did Not Pass - Decapper Divert Gate,740,ABT088,08/05/2019
262,ABT089,Carrier Did Not Pass - Decapper Divert Gate,740,ABT089,08/05/2019
263,ABT091,Carrier Did Not Pass - Decapper Divert Gate,740,ABT091,08/05/2019
264,ABT092,Carrier Did Not Pass - Decapper Divert Gate,740,ABT092,08/05/2019
265,ABT093,Carrier Did Not Pass - Decapper Divert Gate,740,ABT093,08/05/2019
266,ABT094,Carrier Did Not Pass - Decapper Divert Gate,740,ABT094,08/05/2019
267,ABT096,Carrier Did Not Pass - Decapper Divert Gate,740,ABT096,08/05/2019
268,ABT097,Carrier Did Not Pass - Decapper Divert Gate,740,ABT097,08/05/2019
