SQL Statement which produced this data:
  SELECT 
     ROWID, PHM_ALGORITHM_IHN_SK, PHM_ALGORITHM_DEFINITIONS_SK, PHM_PATTERNS_SK, 
     IHN_CODE, IHN_LEVEL_1_DESCRIPTION, APP_AUDITS_CREATE_USER, 
     APP_AUDITS_MODIFY_USER, IHN_LEVEL_2_DESCRIPTION, IHN_LEVEL_3_DESCRIPTION, 
     DELETE_FLAG, APP_AUDITS_CREATE_DATE, APP_AUDITS_MODIFY_DATE, 
     ISSUE_DESCRIPTION
  FROM SVC_PHM_OWNER.PHM_ALGORITHM_IHNS;

PHM_ALGORITHM_IHN_SK,PHM_ALGORITHM_DEFINITIONS_SK,PHM_PATTERNS_SK,IHN_CODE,IHN_LEVEL_1_DESCRIPTION,APP_AUDITS_CREATE_USER,APP_AUDITS_MODIFY_USER,IHN_LEVEL_2_DESCRIPTION,IHN_LEVEL_3_DESCRIPTION,DELETE_FLAG,APP_AUDITS_CREATE_DATE,APP_AUDITS_MODIFY_DATE,ISSUE_DESCRIPTION
1244,20038,20038,"PHN_APA_3700_5",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:44.000000 PM","2/25/2019 8:58:03.000000 PM",
1245,20039,20039,"PHN_APA_3700_6",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:47.000000 PM","2/25/2019 8:59:02.000000 PM",
1246,20040,20040,"PHN_APA_3700_7",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:50.000000 PM","7/24/2019 5:37:50.000000 PM",
1247,20041,20041,"PHN_APA_3700_8",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:53.000000 PM","7/24/2019 5:38:37.000000 PM",
1248,20042,20042,"PHN_APA_4000",,"SVC_PHM_CONNECT","CHANDSN",,,"N","3/29/2018 2:00:56.000000 PM","5/1/2018 11:51:27.000000 AM",
1249,20043,20043,"PHN_APA_5101_1",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:00:59.000000 PM","2/25/2019 9:05:47.000000 PM",
1250,20044,20044,"PHN_APA_5101_2",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 2:01:02.000000 PM","3/29/2018 2:01:02.000000 PM",
1251,20045,20045,"PHN_APA_5101_3",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 2:01:06.000000 PM","3/29/2018 2:01:06.000000 PM",
1252,20046,20046,"PHN_APA_5101_4",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:01:09.000000 PM","2/25/2019 9:09:51.000000 PM",
1253,20047,20047,"PHN_APA_5104_1",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:01:13.000000 PM","2/25/2019 9:12:03.000000 PM",
1254,20048,20048,"PHN_APA_5104_2",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:01:16.000000 PM","2/25/2019 9:12:49.000000 PM",
1255,20049,20049,"PHN_APA_5104_3",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:01:19.000000 PM","3/18/2019 5:58:50.000000 PM",
1256,20050,20050,"PHN_APA_5104_4",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:01:22.000000 PM","3/19/2019 1:30:19.000000 PM",
1257,20051,20051,"PHN_APA_5105_1",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:01:24.000000 PM","2/25/2019 9:14:24.000000 PM",
1258,20052,20052,"PHN_APA_5105_2",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 2:01:26.000000 PM","3/29/2018 2:01:26.000000 PM",
1259,20053,20053,"PHN_APA_5105_3",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 2:01:28.000000 PM","3/29/2018 2:01:28.000000 PM",
1260,20054,20054,"PHN_APA_5105_4",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:01:30.000000 PM","2/25/2019 9:15:27.000000 PM",
1261,20055,20055,"PHN_APA_5200",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 2:01:33.000000 PM","3/29/2018 2:01:33.000000 PM",
1262,20056,20056,"PHN_APA_5202",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 2:01:35.000000 PM","3/29/2018 2:01:35.000000 PM",
1263,20057,20057,"PHN_APA_5204",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 2:01:37.000000 PM","3/29/2018 2:01:37.000000 PM",
1264,20058,20058,"PHN_APA_5205",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 2:01:39.000000 PM","3/29/2018 2:01:39.000000 PM",
1265,20059,20059,"PHN_APA_5207",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 2:01:41.000000 PM","3/29/2018 2:01:41.000000 PM",
1266,20060,20060,"PHN_APA_5208",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:01:43.000000 PM","7/24/2019 5:40:22.000000 PM",
1267,20061,20061,"PHN_APA_5209",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 2:01:45.000000 PM","3/29/2018 2:01:45.000000 PM",
1268,20062,20062,"PHN_APA_5302",,"SVC_PHM_CONNECT","SVC_PHM_CONNECT",,,"N","3/29/2018 2:01:46.000000 PM","3/29/2018 2:01:46.000000 PM",
1271,20065,20065,"PHN_APA_5306",,"SVC_PHM_CONNECT","LIJX8",,,"N","3/29/2018 2:01:51.000000 PM","7/24/2019 5:46:48.000000 PM",
1272,20066,20066,"PHN_APA_5404_1",,"SVC_PHM_CONNECT","CHANDSN",,,"N","3/29/2018 2:01:52.000000 PM","4/30/2018 4:33:25.000000 PM",
1273,20067,20067,"PHN_APA_5404_2",,"SVC_PHM_CONNECT","CHANDSN",,,"N","3/29/2018 2:01:55.000000 PM","4/30/2018 4:34:19.000000 PM",
