COUNTRY,CITY,CUSTOMER,SN,WZPROBE,FLAGDATE,FLAGA,FLAGB,FLAGC
"INDIA","PUNE, MAHARASHTRA","A.G.DIAGNOSTICS PVT.LT","ISR61714","1.1",6/30/2019 11:56:00 AM,"NO","NO","YES"
"CHINA","???","???????????? ???????? ","ISR55596","1.3",6/30/2019 2:25:45 AM,"YES","NO","NO"
"CHINA","??","??????????(???????????","ISR52641","1.1",6/30/2019 2:18:10 PM,"NO","NO","YES"
"INDIA","NEW DELHI","METROPOLIS HEALTHCARE ","ISR03610","2.2",6/30/2019 4:26:45 PM,"NO","NO","YES"
"CHINA","???","??????????","ISR62967","2.1",6/30/2019 10:56:34 AM,"NO","NO","YES"
"JAPAN","???","????QOL??????????????","ISR55937","2.1",6/30/2019 12:40:07 AM,"NO","NO","YES"
"CHINA","???","????????????","ISR55103","2.1",6/30/2019 10:04:03 AM,"NO","NO","YES"
"TURKEY","ISTANBUL","KUZEY KHB BEYKOZ DEVLE","I1SR54048","1.1",6/30/2019 9:53:25 AM,"NO","NO","YES"
"JAPAN","???","??????? ???????","I1SR54590","1.3",6/30/2019 5:23:05 PM,"YES","NO","NO"
"SOUTH AFRICA","NAMIBIA","1064 NAMIBIA INST OF P","I1SR54683","1.2",6/30/2019 12:18:40 PM,"YES","NO","NO"
"USA","SAN ANTONIO","BAPTIST MEDICAL CENTER","ISR53529","1.1",6/30/2019 6:38:39 PM,"NO","NO","YES"
"CHINA","?????","?????????","ISR62785","2.1",6/30/2019 10:54:28 AM,"NO","NO","YES"
"SOUTH KOREA","?????","????","ISR02015","2.1",6/30/2019 12:31:10 PM,"NO","NO","YES"
"CHINA","???","??????????","ISR50555","2.1",6/30/2019 9:12:04 AM,"NO","NO","YES"
"JAPAN","???","JCHO????","ISR54325","1.3",6/30/2019 1:16:36 PM,"YES","NO","NO"
"JAPAN","???","??????·??·??","ISR54635","1.1",6/30/2019 11:02:02 AM,"NO","NO","YES"
"CHINA","??","????????","ISR54612","1.1",6/30/2019 12:47:25 PM,"NO","NO","YES"
"CHINA","???","???????????","ISR55400","2.1",6/30/2019 10:31:00 AM,"NO","NO","YES"
"CHINA","??","???????????????","ISR52133","1.2",6/30/2019 1:08:08 AM,"YES","NO","NO"
"CHINA","???","???????????","ISR55372","1.1",6/30/2019 9:10:53 AM,"NO","NO","YES"
"INDIA","COIMBTORE TAMILNADU","BIOLINE LABORATORY-COI","I1SR51368","1.3",6/30/2019 4:31:31 AM,"NO","NO","YES"
"CHINA","?????","?????????","ISR62055","2.1",6/30/2019 9:21:15 AM,"NO","NO","YES"
"SOUTH KOREA","???","(?)??????????????","ISR55302","1.1",6/30/2019 8:59:20 AM,"NO","NO","YES"
"JAPAN","???","??????","ISR50654","2.2",6/30/2019 11:24:41 AM,"YES","NO","NO"
"CHINA","??","??????????","ISR62695","2.1",6/30/2019 10:34:10 AM,"NO","NO","YES"
"CHINA","???","????????? ????????????","ISR54411","2.1",6/30/2019 9:24:36 AM,"NO","NO","YES"
"CHINA","???","????????","ISR08020","1.1",6/30/2019 9:23:01 AM,"NO","NO","YES"
"CHINA","??","??????????????","ISR51875","2.1",6/30/2019 10:55:31 AM,"NO","NO","YES"
